"filename","publisher","archetype","chart_type","source_url","one_line_note"
"strategy/ref-001-sentiment-stacked-bars.png","mckinsey","strategy","stacked_bar","https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/global-economics-intelligence","Deep-dive YAML annotation alongside the PNG in strategy/"
"strategy/ref-002-risks-multi-line.png","mckinsey","strategy","line","https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/global-economics-intelligence","Deep-dive YAML annotation alongside the PNG in strategy/"
"strategy/ref-003-gdp-growth-bars.png","mckinsey","strategy","bar","https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/global-economics-intelligence-2025","Deep-dive YAML annotation alongside the PNG in strategy/"
"general/bloomberg-column.png","bloomberg","finance","stacked_bar","","White bg; orange/black/gray stacked columns; right-side axis; top legend swatches; terminal-style bold sans title"
"general/bloomberg-lineplot-multiple-labelled.png","bloomberg","finance","line","","Annotated multi-line with endpoint dots and direct name labels; pre/post-IPO split axis; in-plot narrative text block"
"general/bloomberg-lineplot-multiple-labelled-2.png","bloomberg","finance","line","","Multi-line private-company valuations; direct labels plus bold value callouts at line ends; right-side axis"
"general/economist-area-stacked.png","economist","editorial","area","","Two-tone red stacked area; bold black title; right-side axis; series labelled in place (no legend)"
"general/economist-dumbbell-diverging.png","economist","editorial","other","","Diverging lollipop/dumbbell around zero; shaded halves with colored header labels acting as legend"
"general/economist-lineplot-annotated.png","economist","editorial","line","","Single red line; black segment highlighting an episode; point-and-label annotations (Dot-com crash / ChatGPT released)"
"general/economist-lineplot-filled.png","economist","editorial","area","","Red line with pale fill to baseline; compact two-line bold title; right-side axis"
"general/economist-lineplot-highlight-muted.png","economist","editorial","line","","One bold red 2025 line vs muted gray 2020-24 spaghetti; labels set directly on lines"
"general/economist-scatterplot-bubble-highlight.png","economist","editorial","scatter","","Bubble scatter with highlighted red cluster vs gray rest; axis titles as bold arrowed labels; no tick labels"
"general/eu-column-alternative.png","eu-agency","editorial","other","","Dot-interval / segmented distribution rows by country; diverging colour encoding; italic serif annotations"
"general/ft-barplot.png","ft","editorial","bar","","Two side-by-side bar panels with value labels inside/above bars; muted multi-hue palette on cream bg"
"general/ft-choropleth.png","ft","editorial","other","","Election map with embedded horizontal bar key; region labels; cream bg"
"general/ft-choropleth-2.png","ft","editorial","other","","Two-panel sequential-fill choropleths with stepped colour legend bars underneath"
"general/ft-choropleth-diverging-facet.png","ft","editorial","other","","Three small-multiple maps by office type; categorical party colours; top swatch legend"
"general/ft-column.png","ft","editorial","bar","","Dense single-series navy column chart; horizontal-only gridlines; comma-formatted axis; source note bottom-left"
"general/ft-column-bars-multiple-group.png","ft","editorial","stacked_bar","","Stacked columns with many categories; top swatch legend; sparse era where bars are near zero"
"general/ft-column-diverging.png","ft","editorial","bar","","Diverging columns around zero (blue negative / red positive) with dark highlight on final bar; coloured keyword in title"
"general/ft-column-groups.png","ft","editorial","bar","","Grouped columns; cream bg; FT house style"
"general/ft-column-simple.png","ft","editorial","bar","","Simple single-series column chart; cream bg"
"general/ft-complex-panel.png","ft","editorial","other","","Small-multiples event study (rebased lines per launch) plus proportional-circle strip below; heavy annotation with arrows"
"general/ft-complex-plot.png","ft","editorial","other","","Strip/tick distribution by month with solid vs dashed reference marks; curved-arrow annotations with italic labels"
"general/ft-facet-lineplot.png","ft","editorial","line","","Faceted line panels; shared y; panel titles as country names"
"general/ft-facet-lineplot-2.png","ft","editorial","line","","Faceted line panels; FT house style"
"general/ft-facet-lineplot-comparison.png","ft","editorial","line","","Stacked panels comparing two indicators with shared event reference line and in-panel annotation"
"general/ft-facet-lineplot-diverging.png","ft","editorial","line","","Faceted lines with diverging colour encoding"
"general/ft-facet-lineplot-filled.png","ft","editorial","area","","Faceted panels; band fill between two lines (gap encoding); direct series labels in first panel only"
"general/ft-facet-lineplot-highlight-muted-2.png","ft","editorial","line","","Faceted lines; one highlighted series vs muted context"
"general/ft-facet-llineplot-highlight-muted.png","ft","editorial","line","","Faceted lines; one highlighted series vs muted context (typo in name: llineplot)"
"general/ft-heatmap.png","ft","editorial","other","","Calendar tile heatmap (country x month) with 3-state categorical fill; top legend; source note bottom-right"
"general/ft-lineplot.png","ft","editorial","line","","Two-series line chart; top swatch legend; navy vs pink"
"general/ft-lineplot-simple.png","ft","editorial","line","","Single-series line; cream bg"
"general/ft-lineplot-trend.png","ft","editorial","line","","Jagged annual line with smoothed gray trend line plus isolated scenario dot; 3-item top legend"
"general/ft-lineplot-trend-multiple-labelled.png","ft","editorial","line","","Multiple lines with trend emphasis and direct labels"
"general/ft-lineplot-labelled.png","ft","editorial","line","","Lines with direct end labels instead of legend"
"general/ft-lineplot-multiple.png","ft","editorial","line","","Three rebased share-price lines; top legend; cream bg"
"general/ft-lineplot-multiple-2.png","ft","editorial","line","","Four rebased lines; top legend; long daily series"
"general/ft-lineplot-multiple-3.png","ft","editorial","line","","Two rebased index lines; long descriptive legend labels"
"general/ft-lineplot-multiple-labelled.png","ft","editorial","line","","Multi-line with direct labels at line ends"
"general/ft-lineplot-mutltiple-labelled-2.png","ft","editorial","line","","Multi-line with direct labels (typo in name: mutltiple)"
"general/ft-lineplot-facet-diverging.png","ft","editorial","line","","Faceted lines; diverging palette"
"general/ft-lineplot-facet-filled.png","ft","editorial","area","","Faceted panels with fill between ideal/actual lines; labels in-panel"
"general/ft-lineplot-facet-filled-labelled.png","ft","editorial","area","","Two-panel counterfactual band chart; actual vs scenario labelled directly on lines"
"general/ft-lineplot-filled-labelled.png","ft","editorial","area","","Annotated area chart with in-plot series labels and dotted reference line splitting history vs pledges"
"general/ft-lineplot-filled-complex.png","ft","editorial","line","","Highlight lines (2024/2025) over gray min-max range band labelled in place"
"general/ft-scatterplot.png","ft","editorial","scatter","","Dense point cloud with gray regression line; full x/y gridlines (unusual for FT); axis titles both sides"
"general/owid-area-stacked.png","owid","editorial","area","","Absolute stacked area; series labelled inside bands; serif title; logo top-right (crop)"
"general/owid-area-stacked-100.png","owid","editorial","area","","100% stacked area; in-band white labels; two tiny series pulled out with bracket labels on right"
"general/owid-bar-annotated.png","owid","editorial","bar","","Horizontal bars sorted by value with one composite stacked highlight bar; bold inline annotation with arrow"
"general/owid-bar-highlight-groups.png","owid","editorial","bar","","Horizontal bars in three colour groups (top/global avg/bottom) with curved-arrow group annotations"
"general/owid-bar-paired.png","owid","editorial","bar","","Back-to-back paired horizontal bars sharing centred country labels; per-side coloured headers; callout annotation"
"general/owid-choropleth.png","owid","editorial","other","","World choropleth with stepped sequential legend and leader-line value annotations"
"general/owid-slope.png","owid","editorial","slope","","Two-point slope chart with left/right value labels and coloured region names as legend; note annotation bottom-right"
"general/owid-stacked-bar-100.png","owid","editorial","stacked_bar","","100% horizontal stacked bars (two segments) with in-bar white value labels; column headers as legend"
"general/urbit-interval-bars.png","urbit","strategy","other","","pt-BR interval/range bars (20/40/60% central) horizontal; RETAKE: hover tooltip captured in screenshot"
